,,,Colonna45,Colonna43,Colonna41,Colonna40,#,Pokémon,Colonna1,Colonna2,Colonna3,Colonna4,Colonna5,Colonna6,Colonna7,Colonna8,Colonna9,Colonna10,Colonna11,Colonna12,Colonna13,Colonna14,Colonna15,Colonna16,Colonna17,Colonna18,Colonna19,Colonna20,Colonna21,Colonna22,Colonna23,Colonna24,Colonna25,Colonna26,Colonna27,Colonna28,Colonna29,Colonna30,Colonna31,Colonna32,Colonna33,Colonna34,Colonna35,Colonna36,Colonna37,Colonna38,Colonna39
,,,,,,,554,Darumaka,Fire Fang,Fire Punch,Flame Charge,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,554,Darumaka-Galar,Ice Beam,Ice Fang,Ice Punch,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,555,Darmanitan,Fire Fang,Focus Blast,Incinerate,Overheat,Psychic,Rock Slide,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,555,Darmanitan-Galar,Avalanche,Ice Fang,Ice Punch,Overheat,Superpower,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,555,Darmanitan-Galar-Zen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,555,Darmanitan-Zen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,556,Maractus,Aerial Ace,Bullet Seed,Petal Blizzard,Poison Jab,Solar Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,557,Dwebble,Cut,Rock Blast,Rock Tomb,Smack Down,X-Scissor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,558,Crustle,Fury Cutter,Rock Blast,Rock Slide,Smack Down,X-Scissor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,559,Scraggy,Acid Spray,Brick Break,Feint Attack,Foul Play,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,560,Scrafty,Acid Spray,Counter,Foul Play,Power-Up Punch,Snarl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,561,Sigilyph,Air Cutter,Air Slash,Ancient Power,Psybeam,Signal Beam,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,562,Yamask,Astonish,Dark Pulse,Ominous Wind,Shadow Ball,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,562,Yamask-Galar,Astonish,Night Shade,Rock Tomb,Sand Tomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,563,Cofagrigus,Astonish,Dark Pulse,Psychic,Shadow Ball,Shadow Claw,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,564,Tirtouga,Ancient Power,Bite,Body Slam,Surf,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,565,Carracosta,Ancient Power,Body Slam,Rock Throw,Surf,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,566,Archen,Ancient Power,Crunch,Dragon Claw,Quick Attack,Wing Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,567,Archeops,Ancient Power,Crunch,Dragon Claw,Steel Wing,Wing Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,568,Trubbish,Gunk Shot,Pound,Seed Bomb,Take Down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,569,Garbodor,Acid Spray,Body Slam,Gunk Shot,Infestation,Seed Bomb,Take Down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,570,Zorua,Aerial Ace,Dark Pulse,Feint Attack,Foul Play,Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,571,Zoroark,Flamethrower,Foul Play,Shadow Claw,Sludge Bomb,Snarl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,572,Minccino,Aqua Tail,Charm,Pound,Swift,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,573,Cinccino,Aqua Tail,Charm,Hyper Beam,Pound,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,574,Gothita,Confusion,Pound,Psybeam,Psychic,Psyshock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,575,Gothorita,Confusion,Future Sight,Pound,Psybeam,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,576,Gothitelle,Charm,Confusion,Future Sight,Psychic,Rock Slide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,577,Solosis,Hidden Power,Night Shade,Psyshock,Thunder,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,578,Duosion,Hidden Power,Night Shade,Psyshock,Thunder,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,579,Reuniclus,Future Sight,Hidden Power,Shadow Ball,Thunder,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,580,Ducklett,Aerial Ace,Brave Bird,Bubble Beam,Water Gun,Wing Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,581,Swanna,Air Slash,Bubble Beam,Hurricane,Ice Beam,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,582,Vanillite,Astonish,Ice Beam,Icy Wind,Powder Snow,Signal Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,583,Vanillish,Astonish,Frost Breath,Ice Beam,Icy Wind,Signal Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,584,Vanilluxe,Astonish,Blizzard,Flash Cannon,Frost Breath,Signal Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,585,Deerling,Energy Ball,Seed Bomb,Tackle,Take Down,Wild Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,586,Sawsbuck,Feint Attack,Hyper Beam,Megahorn,Solar Beam,Take Down,Wild Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,587,Emolga,Aerial Ace,Discharge,Quick Attack,Thunder Shock,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,588,Karrablast,Aerial Ace,Drill Run,Fury Cutter,Peck,Signal Beam,X-Scissor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,589,Escavalier,Acid Spray,Aerial Ace,Bug Bite,Counter,Drill Run,Megahorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,590,Foongus,Astonish,Body Slam,Energy Ball,Feint Attack,Grass Knot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,591,Amoonguss,Astonish,Feint Attack,Foul Play,Grass Knot,Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,592,Frillish,Bubble,Hex,Ice Beam,Night Shade,Ominous Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,593,Jellicent,Bubble,Bubble Beam,Hex,Ice Beam,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,594,Alomomola,Blizzard,Hidden Power,Hydro Pump,Psychic,Waterfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,595,Joltik,Bug Buzz,Charge Beam,Cross Poison,Discharge,Sucker Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,596,Galvantula,Bug Buzz,Cross Poison,Discharge,Energy Ball,Fury Cutter,Lunge,Volt Switch,**Charge Beam,**Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,597,Ferroseed,Flash Cannon,Gyro Ball,Iron Head,Metal Claw,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,598,Ferrothorn,Acid Spray,Bullet Seed,Flash Cannon,Metal Claw,Mirror Shot,Power Whip,Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,599,Klink,Charge Beam,Discharge,Vise Grip,Volt Switch,Zap Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,600,Klang,Charge Beam,Thunder Shock,Thunderbolt,Vise Grip,Zap Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,601,Klinklang,Charge Beam,Flash Cannon,Hyper Beam,Mirror Shot,Thunder Shock,Zap Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,602,Tynamo,Spark,Struggle,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,603,Eelektrik,Acid,Crunch,Discharge,Spark,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,604,Eelektross,Acid,Acid Spray,Crunch,Dragon Claw,Spark,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,605,Elgyem,Astonish,Confusion,Dark Pulse,Psybeam,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,606,Beheeyem,Astonish,Confusion,Dark Pulse,Psychic,Rock Slide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,607,Litwick,Astonish,Ember,Flame Burst,Flame Charge,Heat Wave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,608,Lampent,Astonish,Ember,Energy Ball,Flame Burst,Heat Wave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,609,Chandelure,Energy Ball,Fire Spin,Flame Charge,Hex,Incinerate,Overheat,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,610,Axew,Aqua Tail,Dragon Claw,Dragon Pulse,Iron Tail,Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,611,Fraxure,Aqua Tail,Dragon Claw,Dragon Tail,Iron Tail,Night Slash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,612,Haxorus,Counter,Dragon Claw,Dragon Tail,Earthquake,Night Slash,Surf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,613,Cubchoo,Charm,Ice Punch,Icy Wind,Play Rough,Powder Snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,614,Beartic,Charm,Ice Punch,Play Rough,Powder Snow,Surf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,615,Cryogonal,Aurora Beam,Frost Breath,Ice Shard,Night Slash,Solar Beam,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,616,Shelmet,Acid,Body Slam,Bug Buzz,Infestation,Signal Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,617,Accelgor,Acid,Acid Spray,Bug Buzz,Focus Blast,Infestation,Signal Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,618,Stunfisk,Discharge,Mud Bomb,Mud Shot,Muddy Water,Thunder Shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,618,Stunfisk-Galar,Earthquake,Flash Cannon,Metal Claw,Mud Shot,Muddy Water,Rock Slide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,619,Mienfoo,Brick Break,Focus Blast,Low Kick,Low Sweep,Pound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,620,Mienshao,Brick Break,Grass Knot,Low Kick,Poison Jab,Stone Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,621,Druddigon,Bite,Dragon Claw,Dragon Tail,Hyper Beam,Night Slash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,622,Golett,Astonish,Brick Break,Mud Slap,Night Shade,Shadow Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,623,Golurk,Astonish,Dynamic Punch,Earth Power,Mud Slap,Shadow Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,624,Pawniard,Fury Cutter,Iron Head,Night Slash,Scratch,X-Scissor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,625,Bisharp,Dark Pulse,Focus Blast,Iron Head,Metal Claw,Snarl,X-Scissor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,626,Bouffalant,Earthquake,Megahorn,Mud Shot,Skull Bash,Stomp,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,627,Rufflet,Aerial Ace,Brave Bird,Peck,Rock Tomb,Wing Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,628,Braviary,Air Slash,Brave Bird,Close Combat,Heat Wave,Rock Slide,Steel Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,629,Vullaby,Air Slash,Brave Bird,Dark Pulse,Feint Attack,Foul Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,630,Mandibuzz,Air Slash,Dark Pulse,Foul Play,Shadow Ball,Sky Attack,Snarl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,631,Heatmor,Fire Spin,Flamethrower,Lick,Power-Up Punch,Thunder Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,632,Durant,Bug Bite,Iron Head,Metal Claw,Stone Edge,X-Scissor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,633,Deino,Body Slam,Crunch,Dragon Breath,Dragon Pulse,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,634,Zweilous,Bite,Body Slam,Dark Pulse,Dragon Breath,Dragon Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,635,Hydreigon,Bite,Dark Pulse,Dragon Breath,Dragon Pulse,Flash Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,636,Larvesta,Bug Bite,Bug Buzz,Ember,Flame Charge,Flame Wheel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,637,Volcarona,Bug Bite,Bug Buzz,Fire Spin,Hurricane,Overheat,Solar Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,638,Cobalion,Close Combat,Iron Head,Metal Claw,Stone Edge,Zen Headbutt,* Sacred Sword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,639,Terrakion,Close Combat,Earthquake,Rock Slide,Smack Down,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,640,Virizion,Close Combat,Leaf Blade,Quick Attack,Stone Edge,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,641,Tornadus,Air Slash,Bite,Dark Pulse,Grass Knot,Hurricane,Hyper Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,641,Tornadus-Therian,Astonish,Focus Blast,Gust,Heat Wave,Hurricane,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,642,Thundurus,Astonish,Brick Break,Crunch,Thunder,Thunder Punch,Thunder Shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,642,Thundurus-Therian,Bite,Focus Blast,Sludge Wave,Thunder,Thunderbolt,Volt Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,643,Reshiram,Crunch,Draco Meteor,Dragon Breath,Fire Fang,Overheat,Stone Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,644,Zekrom,Charge Beam,Crunch,Dragon Breath,Flash Cannon,Outrage,Wild Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,645,Landorus,Earth Power,Focus Blast,Mud Shot,Outrage,Rock Slide,Rock Throw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,645,Landorus-Therian,Bulldoze,Earthquake,Extrasensory,Mud Shot,Stone Edge,Superpower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,646,Kyurem,Blizzard,Draco Meteor,Dragon Breath,Dragon Claw,Steel Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,647,Keldeo,Aqua Jet,Close Combat,Hydro Pump,Low Kick,Poison Jab,X-Scissor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,648,Meloetta,Confusion,Dazzling Gleam,Hyper Beam,Psyshock,Quick Attack,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,649,Genesect,Fury Cutter,Hyper Beam,Magnet Bomb,Metal Claw,X-Scissor,* Techno Blast (Burn),* Techno Blast (Douse),* Techno Blast (Chill),* Techno Blast (Normal),* Techno Blast (Shock),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,650,Chespin,Body Slam,Gyro Ball,Seed Bomb,Take Down,Vine Whip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,651,Quilladin,Body Slam,Energy Ball,Gyro Ball,Low Kick,Vine Whip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,652,Chesnaught,Energy Ball,Gyro Ball,Low Kick,Smack Down,Solar Beam,Superpower,Vine Whip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,653,Fennekin,Ember,Flame Charge,Flamethrower,Psyshock,Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,654,Braixen,Ember,Flame Charge,Flamethrower,Psyshock,Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,655,Delphox,Fire Blast,Fire Spin,Flame Charge,Flamethrower,Psychic,Scratch,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,656,Froakie,Aerial Ace,Bubble,Pound,Surf,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,657,Frogadier,Aerial Ace,Bubble,Pound,Surf,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,658,Greninja,Aerial Ace,Bubble,Feint Attack,Hydro Pump,Night Slash,Surf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,658,Greninja-Ash,Aerial Ace,Bubble,Feint Attack,Hydro Pump,Night Slash,Surf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,659,Bunnelby,Bulldoze,Dig,Earthquake,Mud Slap,Quick Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,660,Diggersby,Dig,Earthquake,Fire Punch,Hyper Beam,Mud Shot,Quick Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,661,Fletchling,Aerial Ace,Heat Wave,Peck,Quick Attack,Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,662,Fletchinder,Aerial Ace,Ember,Flame Charge,Heat Wave,Peck,Steel Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,663,Talonflame,Brave Bird,Fire Blast,Fire Spin,Flame Charge,Hurricane,Peck,Steel Wing,* Incinerate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,664,Scatterbug,Bug Bite,Struggle,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,665,Spewpa,Bug Bite,Struggle,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,666,Vivillon,Aerial Ace,Bug Bite,Bug Buzz,Energy Ball,Gust,Hurricane,Struggle Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,667,Litleo,Crunch,Ember,Fire Fang,Flame Charge,Flamethrower,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,668,Pyroar,Dark Pulse,Ember,Fire Fang,Flame Charge,Overheat,Solar Beam,Take Down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,669,Flabébé,Dazzling Gleam,Petal Blizzard,Psychic,Tackle,Vine Whip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,670,Floette,Dazzling Gleam,Petal Blizzard,Psychic,Tackle,Vine Whip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,671,Florges,Disarming Voice,Moonblast,Petal Blizzard,Psychic,Razor Leaf,Tackle,Vine Whip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,672,Skiddo,Brick Break,Rock Slide,Rock Smash,Seed Bomb,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,673,Gogoat,Brick Break,Leaf Blade,Rock Slide,Rock Smash,Seed Bomb,Vine Whip,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,674,Pancham,Body Slam,Crunch,Low Kick,Low Sweep,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,675,Pangoro,Bullet Punch,Close Combat,Iron Head,Low Kick,Night Slash,Rock Slide,Snarl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,676,Furfrou,Bite,Dark Pulse,Grass Knot,Sucker Punch,Surf,Take Down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,677,Espurr,Confusion,Energy Ball,Psychic,Psyshock,Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,678,Meowstic,Charm,Confusion,Energy Ball,Psychic,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,678,Meowstic-F,Charm,Confusion,Energy Ball,Psychic,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,678,Meowstic-M,Charm,Confusion,Energy Ball,Psychic,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,679,Honedge,Fury Cutter,Gyro Ball,Iron Head,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,680,Doublade,Fury Cutter,Gyro Ball,Iron Head,Psycho Cut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,681,Aegislash,Flash Cannon,Fury Cutter,Gyro Ball,Psycho Cut,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,681,Aegislash-Blade,Flash Cannon,Fury Cutter,Gyro Ball,Psycho Cut,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,682,Spritzee,Charge Beam,Charm,Draining Kiss,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,683,Aromatisse,Charge Beam,Charm,Draining Kiss,Moonblast,Psychic,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,684,Swirlix,Draining Kiss,Energy Ball,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,685,Slurpuff,Charm,Draining Kiss,Energy Ball,Flamethrower,Play Rough,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,686,Inkay,Night Slash,Peck,Psybeam,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,687,Malamar,Foul Play,Hyper Beam,Peck,Psybeam,Psycho Cut,Superpower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,688,Binacle,Ancient Power,Cross Chop,Dig,Mud Slap,Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,689,Barbaracle,Cross Chop,Fury Cutter,Grass Knot,Mud Slap,Skull Bash,Stone Edge,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,690,Skrelp,Acid,Aqua Tail,Sludge Bomb,Twister,Water Gun,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,691,Dragalge,Acid,Aqua Tail,Dragon Tail,Gunk Shot,Hydro Pump,Outrage,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,692,Clauncher,Aqua Jet,Crabhammer,Smack Down,Water Gun,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,693,Clawitzer,Crabhammer,Dark Pulse,Ice Beam,Smack Down,Water Gun,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,694,Helioptile,Bulldoze,Discharge,Parabolic Charge,Quick Attack,Thunder Shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,695,Heliolisk,Bulldoze,Grass Knot,Mud Slap,Parabolic Charge,Quick Attack,Thunderbolt,Volt Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,696,Tyrunt,Ancient Power,Dragon Claw,Dragon Tail,Stomp,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,697,Tyrantrum,Charm,Crunch,Dragon Tail,Earthquake,Outrage,Rock Throw,Stone Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,698,Amaura,Ancient Power,Aurora Beam,Frost Breath,Powder Snow,Thunderbolt,Weather Ball Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,699,Aurorus,Ancient Power,Blizzard,Frost Breath,Hyper Beam,Powder Snow,Rock Throw,Thunderbolt,Weather Ball Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,700,Sylveon,Charm,Dazzling Gleam,Draining Kiss,Moonblast,Quick Attack,* Last Resort,* Psyshock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,701,Hawlucha,Flying Press,Low Kick,Poison Jab,Power-Up Punch,Sky Attack,Wing Attack,X-Scissor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,702,Dedenne,Discharge,Parabolic Charge,Play Rough,Tackle,Thunder Shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
